id,commodity__sid,commodity__code,commodity__suffix,commodity__description,commodity__validity_start,commodity__validity_end,parent__sid,parent__code,parent__suffix
1,27623,100000000,80,LIVE ANIMALS,31/12/1971,#NA,#NA,#NA,#NA
2,27624,101000000,80,"Live horses, asses, mules and hinnies",01/01/1972,#NA,27623,100000000,80
3,93797,101210000,10,Horses,01/01/2012,#NA,27624,101000000,80
4,93796,101210000,80,Pure-bred breeding animals,01/01/2012,#NA,93797,101210000,10
5,93798,101290000,80,Other,01/01/2012,#NA,93797,101210000,10
6,93799,101291000,80,For slaughter,01/01/2012,#NA,93798,101290000,80
7,93800,101299000,80,Other,01/01/2012,#NA,93798,101290000,80
8,93801,101300000,80,Asses,01/01/2012,#NA,27624,101000000,80
9,72763,101900000,80,Other,01/01/2002,#NA,27624,101000000,80
10,27633,102000000,80,Live bovine animals,01/01/1972,#NA,27623,100000000,80
11,94053,102210000,10,Cattle,01/01/2012,#NA,27633,102000000,80
12,94047,102210000,80,Pure-bred breeding animals,01/01/2012,#NA,94053,102210000,10
13,94048,102211000,80,Heifers (female bovines that have never calved),01/01/2012,#NA,94047,102210000,80
14,94049,102213000,80,Cows,01/01/2012,#NA,94047,102210000,80
15,94050,102219000,80,Other,01/01/2012,#NA,94047,102210000,80
16,94056,102290000,80,Other,01/01/2012,#NA,94053,102210000,10
17,96756,102290500,80,Of the sub-genus Bibos or of the sub-genus Poephagus,01/01/2013,#NA,94056,102290000,80
18,96757,102291000,10,Other,01/01/2013,#NA,94056,102290000,80
19,94057,102291000,80,Of a weight not exceeding 80 kg,01/01/2012,#NA,96757,102291000,10
20,94058,102291010,80,"Young male bovine animals, intended for fattening",01/01/2012,#NA,94057,102291000,80
21,94059,102291020,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",01/01/2012,#NA,94057,102291000,80
22,94060,102291030,80,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter",01/01/2012,#NA,94057,102291000,80
23,94061,102291040,80,"Heifers of the spotted Simmental breed, other than for slaughter",01/01/2012,#NA,94057,102291000,80
24,94062,102291050,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",01/01/2012,#NA,94057,102291000,80
25,94063,102291090,80,Other,01/01/2012,#NA,94057,102291000,80
26,94064,102292100,10,Of a weight exceeding 80 kg but not exceeding 160 kg,01/01/2012,#NA,96757,102291000,10
27,94065,102292100,80,For slaughter,01/01/2012,#NA,94064,102292100,10
28,94066,102292900,80,Other,01/01/2012,#NA,94064,102292100,10
29,94067,102292910,80,"Young male bovine animals, intended for fattening",01/01/2012,#NA,94066,102292900,80
30,94068,102292920,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",01/01/2012,#NA,94066,102292900,80
31,94069,102292930,80,Heifers of the Schwyz and Fribourg breeds,01/01/2012,#NA,94066,102292900,80
32,94070,102292940,80,Heifers of the spotted Simmental breed,01/01/2012,#NA,94066,102292900,80
33,94071,102292950,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",01/01/2012,#NA,94066,102292900,80
34,94072,102292990,80,Other,01/01/2012,#NA,94066,102292900,80
35,94073,102294100,10,Of a weight exceeding 160 kg but not exceeding 300 kg,01/01/2012,#NA,96757,102291000,10
36,94074,102294100,80,For slaughter,01/01/2012,#NA,94073,102294100,10
37,94075,102294900,80,Other,01/01/2012,#NA,94073,102294100,10
38,94076,102294910,80,"Young male bovine animals, intended for fattening",01/01/2012,#NA,94075,102294900,80
39,94077,102294920,80,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",01/01/2012,#NA,94075,102294900,80
40,94078,102294930,80,Heifers and cows of the Schwyz and Fribourg breeds,01/01/2012,#NA,94075,102294900,80
41,94079,102294940,80,Heifers and cows of the spotted Simmental breed,01/01/2012,#NA,94075,102294900,80
42,94080,102294950,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",01/01/2012,#NA,94075,102294900,80
43,94081,102294990,80,Other,01/01/2012,#NA,94075,102294900,80
44,94082,102295100,10,Of a weight exceeding 300 kg,01/01/2012,#NA,96757,102291000,10
45,94083,102295100,20,Heifers (female bovines that have never calved),01/01/2012,#NA,94082,102295100,10
46,94084,102295100,80,For slaughter,01/01/2012,#NA,94083,102295100,20
47,94085,102295110,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",01/01/2012,#NA,94084,102295100,80
48,94086,102295190,80,Other,01/01/2012,#NA,94084,102295100,80
49,94087,102295900,80,Other,01/01/2012,#NA,94083,102295100,20
50,94088,102295911,10,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",01/01/2012,#NA,94087,102295900,80
51,94089,102295911,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",01/01/2012,#NA,94088,102295911,10
52,94090,102295919,80,Other,01/01/2012,#NA,94088,102295911,10
53,94091,102295921,10,Of the Schwyz and Fribourg breeds,01/01/2012,#NA,94087,102295900,80
54,94092,102295921,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",01/01/2012,#NA,94091,102295921,10
55,94093,102295929,80,Other,01/01/2012,#NA,94091,102295921,10
56,94094,102295931,10,Of the spotted Simmental breed,01/01/2012,#NA,94087,102295900,80
57,94095,102295931,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",01/01/2012,#NA,94094,102295931,10
58,94096,102295939,80,Other,01/01/2012,#NA,94094,102295931,10
59,94097,102295991,10,Other,01/01/2012,#NA,94087,102295900,80
60,94098,102295991,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",01/01/2012,#NA,94097,102295991,10
61,94099,102295999,80,Other,01/01/2012,#NA,94097,102295991,10
62,94100,102296100,10,Cows,01/01/2012,#NA,94082,102295100,10
63,94101,102296100,80,For slaughter,01/01/2012,#NA,94100,102296100,10
64,94102,102296900,80,Other,01/01/2012,#NA,94100,102296100,10
65,94103,102296910,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",01/01/2012,#NA,94102,102296900,80
66,94104,102296920,80,Of the Schwyz and Fribourg breeds,01/01/2012,#NA,94102,102296900,80
67,94105,102296930,80,Of the spotted Simmental breed,01/01/2012,#NA,94102,102296900,80
68,94106,102296990,80,Other,01/01/2012,#NA,94102,102296900,80
69,94118,102299100,10,Other,01/01/2012,#NA,94082,102295100,10
70,94119,102299100,80,For slaughter,01/01/2012,#NA,94118,102299100,10
71,94120,102299110,80,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",01/01/2012,#NA,94119,102299100,80
72,94121,102299190,80,Other,01/01/2012,#NA,94119,102299100,80
73,94122,102299900,80,Other,01/01/2012,#NA,94118,102299100,10
74,94123,102299921,10,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",01/01/2012,#NA,94122,102299900,80
75,94124,102299921,80,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",01/01/2012,#NA,94123,102299921,10
76,94125,102299929,80,Other,01/01/2012,#NA,94123,102299921,10
77,94126,102299991,10,Other,01/01/2012,#NA,94122,102299900,80
78,94127,102299991,80,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",01/01/2012,#NA,94126,102299991,10
79,94128,102299999,80,Other,01/01/2012,#NA,94126,102299991,10
80,94054,102310000,10,Buffalo,01/01/2012,#NA,27633,102000000,80
81,94051,102310000,80,Pure-bred breeding animals,01/01/2012,#NA,94054,102310000,10
82,94055,102390000,80,Other,01/01/2012,#NA,94054,102310000,10
83,94129,102391000,80,Domestic species,01/01/2012,#NA,94055,102390000,80
84,96165,102391010,80,Of a weight exceeding 160 kg,01/01/2012,#NA,94129,102391000,80
85,96167,102391090,80,Other,01/01/2012,#NA,94129,102391000,80
86,94130,102399000,80,Other,01/01/2012,#NA,94055,102390000,80
87,27638,102900000,80,Other,01/01/1972,#NA,27633,102000000,80
88,94052,102902000,80,Pure-bred breeding animals,01/01/2012,#NA,27638,102900000,80
89,94131,102909100,10,Other,01/01/2012,#NA,27638,102900000,80
90,94132,102909100,80,Domestic species,01/01/2012,#NA,94131,102909100,10
91,96168,102909110,80,Of a weight exceeding 160 kg,01/01/2012,#NA,94132,102909100,80
92,96166,102909190,80,Other,01/01/2012,#NA,94132,102909100,80
93,94133,102909900,80,Other,01/01/2012,#NA,94131,102909100,10
94,27762,103000000,80,Live swine,01/01/1972,#NA,27623,100000000,80
95,27763,103100000,80,Pure-bred breeding animals,01/01/1972,#NA,27762,103000000,80
96,27764,103910000,10,Other,01/01/1972,#NA,27762,103000000,80
97,27765,103910000,80,Weighing less than 50 kg,01/01/1972,#NA,27764,103910000,10
98,27766,103911000,80,Domestic species,01/01/1972,#NA,27765,103910000,80
99,27767,103919000,80,Other,01/01/1972,#NA,27765,103910000,80
100,27768,103920000,80,Weighing 50 kg or more,01/01/1972,#NA,27764,103910000,10
101,27769,103921100,10,Domestic species,01/01/1989,#NA,27768,103920000,80
